x,y,h
0,0,1
0,1,2
0,2,3
0,3,3
0,4,2
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,0
0,11,1
0,12,0
0,13,0
0,14,0
0,15,0
0,16,1
0,17,2
0,18,1
0,19,0
0,20,0
0,21,1
0,22,1
0,23,0
0,24,1
0,25,1
0,26,0
0,27,1
0,28,2
0,29,7
0,30,9
0,31,10
0,32,0
0,33,1
0,34,0
0,35,1
0,36,1
0,37,1
0,38,1
0,39,1
0,40,1
0,41,1
0,42,0
0,43,0
0,44,1
0,45,0
0,46,1
0,47,0
0,48,1
0,49,1
0,50,1
0,51,1
0,52,2
0,53,3
0,54,4
0,55,1
0,56,0
0,57,1
0,58,1
0,59,1
0,60,1
0,61,1
0,62,0
0,63,1
0,64,2
0,65,1
0,66,1
0,67,0
0,68,0
0,69,1
0,70,1
0,71,1
0,72,0
0,73,0
0,74,1
0,75,1
0,76,0
0,77,0
0,78,1
0,79,2
0,80,1
0,81,2
0,82,1
0,83,0
0,84,1
0,85,2
0,86,0
0,87,85
0,88,85
0,89,85
0,90,2
0,91,1
0,92,0
0,93,0
0,94,1
0,95,0
0,96,1
0,97,2
0,98,1
0,99,2
0,100,3
0,101,5
0,102,7
0,103,9
0,104,10
0,105,0
0,106,0
0,107,0
0,108,0
0,109,0
0,110,1
0,111,0
0,112,0
0,113,3
0,114,2
0,115,1
0,116,1
0,117,2
0,118,1
0,119,0
0,120,1
0,121,2
0,122,1
0,123,0
0,124,0
0,125,1
0,126,0
0,127,0
0,128,0
0,129,1
0,130,0
0,131,0
0,132,1
0,133,2
0,134,1
1,0,1
1,1,0
1,2,9
1,3,8
1,4,0
1,5,3
1,6,0
1,7,0
1,8,0
1,9,2
1,10,0
1,11,2
1,12,1
1,13,0
1,14,1
1,15,0
1,16,3
1,17,3
1,18,0
1,19,2
1,20,0
1,21,2
1,22,0
1,23,2
1,24,0
1,25,0
1,26,2
1,27,0
1,28,6
1,29,8
1,30,10
1,31,11
1,32,11
1,33,0
1,34,2
1,35,2
1,36,0
1,37,0
1,38,1
1,39,0
1,40,0
1,41,2
1,42,0
1,43,0
1,44,1
1,45,2
1,46,1
1,47,0
1,48,2
1,49,0
1,50,0
1,51,3
1,52,0
1,53,5
1,54,6
1,55,5
1,56,0
1,57,0
1,58,2
1,59,0
1,60,0
1,61,2
1,62,2
1,63,2
1,64,0
1,65,3
1,66,0
1,67,0
1,68,2
1,69,0
1,70,0
1,71,0
1,72,2
1,73,3
1,74,4
1,75,0
1,76,2
1,77,2
1,78,2
1,79,0
1,80,3
